,furniture_type,name,discounted_price,original_price,product_details
11,Kitchen Cabinet,Flipkart Perfect Homes Rosewood (Sheesham) Bar Cabinet ...,"₹14,249","₹38,599","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">DIY(Do-It-Yourself)</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 1320 mm x 889 mm x 508 mm (4 ft 3 in x 2 ft 10 in x 1 ft 8 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
12,Kitchen Cabinet,"Timberly Wall Mounted Wine Rack, Bar Cabinet with Glass...","₹4,491","₹11,990","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 965 mm x 635 mm x 127 mm (3 ft 1 in x 2 ft 1 in x 5 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
13,Kitchen Cabinet,Timberly Bar Cabinet | Wine Rack with 5 Bottle Stacking...,"₹1,791","₹2,990","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 191 mm x 152 mm x 610 mm (7 in x 5 in x 2 ft)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
14,Kitchen Cabinet,Timberly Sheesham Wood Hut Shape Design Bar Cabinet wit...,"₹10,710","₹16,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 710 mm x 760 mm x 300 mm (2 ft 3 in x 2 ft 5 in x 11 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
15,Kitchen Cabinet,Flipkart Perfect Homes Solid Wood Bar Cabinet,"₹20,231","₹22,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 700 mm x 525 mm x 925 mm (2 ft 3 in x 1 ft 8 in x 3 ft)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
16,Kitchen Cabinet,Ognija Solid Wood Bar Cabinet,"₹2,399","₹7,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 700 mm x 700 mm x 120 mm (2 ft 3 in x 2 ft 3 in x 4 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
17,Kitchen Cabinet,LKBS ART Solid Wood Bar Cabinet,"₹1,850","₹3,250","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 600 mm x 650 mm x 120 mm (1 ft 11 in x 2 ft 1 in x 4 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
18,Kitchen Cabinet,"Timberly ar Cabinet | Wine Rack, Wall Hanging Mini Bar,...","₹1,611","₹6,900","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 139.7 mm x 419.1 mm x 533.4 mm (5 in x 1 ft 4 in x 1 ft 9 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
19,Kitchen Cabinet,Flipkart Perfect Homes PureWood Sheesham Bar Cabinet,"₹14,079","₹22,399","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 62.5 cm x 72.5 cm x 62.5 cm (2 ft x 2 ft 4 in x 2 ft)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
20,Kitchen Cabinet,Ognija Solid Wood Bar Cabinet,"₹2,399","₹7,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 700 mm x 700 mm x 120 mm (2 ft 3 in x 2 ft 3 in x 4 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
21,Kitchen Cabinet,ROYAL FINISH Nivora Solid Wood Bar Cabinet,"₹19,124","₹44,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 410 mm x 1010 mm x 530 mm (1 ft 4 in x 3 ft 3 in x 1 ft 8 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
22,Kitchen Cabinet,Ognija ognijawirablackwalnut001 Solid Wood Bar Cabinet,"₹1,529","₹2,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 584 mm x 406 mm x 150 mm (1 ft 10 in x 1 ft 3 in x 5 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
23,Kitchen Cabinet,Flipkart Perfect Homes Sheesham Wood Solid Wood Bar Cab...,"₹10,559","₹23,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 90 cm x 106.7 cm x 50.8 cm (2 ft 11 in x 3 ft 6 in x 1 ft 8 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
24,Kitchen Cabinet,EARLYFURNITURE Solid Wood Bar Cabinet,"₹2,189","₹5,000","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">DIY(Do-It-Yourself)</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 12.7 mm x 63.5 mm x 49.6 mm (2 in x 1 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
25,Kitchen Cabinet,FURINNO Solid Wood Bar Cabinet,"₹25,999","₹35,999","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">DIY(Do-It-Yourself)</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 508 mm x 1092.2 mm x 838.2 mm (1 ft 8 in x 3 ft 7 in x 2 ft 9 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
26,Kitchen Cabinet,"Timberly Wall Hanging Design Bar Cabinet, Wine Rack wit...","₹2,691","₹7,990","[<li class=""_21Ahn-"">Solid Wood</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: No</li>, <li class=""_21Ahn-"">W x H x D: 508 mm x 635 mm x 127 mm (1 ft 8 in x 2 ft 1 in x 5 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
27,Kitchen Cabinet,SPEEDX Metal Bar Cabinet,"₹80,999","₹89,999","[<li class=""_21Ahn-"">Metal</li>, <li class=""_21Ahn-"">Pre-assembled</li>, <li class=""_21Ahn-"">Door Included: Yes</li>, <li class=""_21Ahn-"">W x H x D: 1219 mm x 610 mm x 914 mm (3 ft 11 in x 2 ft x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
