,furniture_type,name,discounted_price,original_price,product_details
34,Drawers,Oakcraft Leatherette Office Executive Chair,"₹4,724","₹14,999","[<li class=""_21Ahn-"">Adjustable Seat Height, Armrest, Locking Mechanism, Recline, Seat Lock, Swivel, Wheels</li>, <li class=""_21Ahn-"">W x H: 48.2 cm x 101.6 cm (1 ft 6 in x 3 ft 4 in)</li>, <li class=""_21Ahn-"">Frame Material: Plastic</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
35,Drawers,WIPRO Fabric Office Arm Chair,"₹9,799","₹11,070","[<li class=""_21Ahn-"">Adjustable Seat Height, Recline, Wheels, Swivel</li>, <li class=""_21Ahn-"">W x H: 51 cm x 114 cm (1 ft 8 in x 3 ft 8 in)</li>, <li class=""_21Ahn-"">Frame Material: Plastic</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
36,Drawers,"GREEN SOUL Jupiter Go High Back Ergonomic|Home, Office|...","₹7,730","₹15,436","[<li class=""_21Ahn-"">Adjustable Seat Height, Head Support, Seat Lock, Wheels, Swivel, Armrest, Locking Mechanism</li>, <li class=""_21Ahn-"">W x H: 65 cm x 115 cm (2 ft 1 in x 3 ft 9 in)</li>, <li class=""_21Ahn-"">Frame Material: Plastic</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
37,Drawers,Oakcraft HIGH Back Leather Office with adjustable handl...,"₹7,919","₹21,999","[<li class=""_21Ahn-"">Adjustable Seat Height, Armrest, Head Support, Locking Mechanism, Recline, Seat Lock, Swivel, Wheels</li>, <li class=""_21Ahn-"">W x H: 56 cm x 124 cm (1 ft 10 in x 4 ft)</li>, <li class=""_21Ahn-"">Frame Material: Metal</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
38,Drawers,SAVYA HOME BEATLE HIGH BACK Nylon Office Executive Chai...,"₹4,951","₹18,000","[<li class=""_21Ahn-"">Adjustable Seat Height, Head Support, Recline, Seat Lock, Wheels, Swivel, Armrest, Locking Mechanism</li>, <li class=""_21Ahn-"">W x H: 57 cm x 134.5 cm (1 ft 10 in x 4 ft 4 in)</li>, <li class=""_21Ahn-"">Frame Material: Plastic</li>, <li class=""_21Ahn-"">Upholstery Type: Mesh</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
39,Drawers,Artesia Folding Sheesham Wood Relaxing Rest Chair Solid...,"₹4,799","₹12,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
40,Drawers,Allie Wood Sheesham Solid Wood Dining Chair,"₹4,589","₹11,599","[<li class=""_21Ahn-"">Material: Solid Wood</li>, <li class=""_21Ahn-"">Number of Chairs: 2</li>, <li class=""_21Ahn-"">W x H x D: 457.2 mm x 914.4 mm x 457.2 mm (1 ft 6 in x 3 ft x 1 ft 6 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
41,Drawers,Allie Wood Sheesham Solid Wood Dining Chair,"₹4,589","₹11,999","[<li class=""_21Ahn-"">Material: Solid Wood</li>, <li class=""_21Ahn-"">Number of Chairs: 2</li>, <li class=""_21Ahn-"">W x H x D: 457.2 mm x 863.6 mm x 457.2 mm (1 ft 6 in x 2 ft 10 in x 1 ft 6 in)</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
42,Drawers,Flipkart Perfect Homes Fabric Office Arm Chair,"₹3,136","₹6,500","[<li class=""_21Ahn-"">Adjustable Seat Height, Armrest, Locking Mechanism, Recline, Swivel, Wheels</li>, <li class=""_21Ahn-"">W x H: 22 cm x 36 cm (8 in x 1 ft 2 in)</li>, <li class=""_21Ahn-"">Frame Material: Metal</li>, <li class=""_21Ahn-"">Upholstery Type: Mesh</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
43,Drawers,APEX CHAIRS DELTA Fabric Office Executive Chair,"₹2,870","₹6,750","[<li class=""_21Ahn-"">Head Support, Wheels, Seat Lock, Locking Mechanism, Swivel, Armrest, Adjustable Seat Height</li>, <li class=""_21Ahn-"">W x H: 48 cm x 88 cm (1 ft 6 in x 2 ft 10 in)</li>, <li class=""_21Ahn-"">Frame Material: Metal</li>, <li class=""_21Ahn-"">Upholstery Type: Mesh</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
44,Drawers,"GREEN SOUL Jupiter Superb High Back Ergonomic|Home, Off...","₹8,630","₹18,890","[<li class=""_21Ahn-"">Adjustable Seat Height, Head Support, Seat Lock, Wheels, Swivel, Armrest, Locking Mechanism</li>, <li class=""_21Ahn-"">W x H: 65 cm x 125 cm (2 ft 1 in x 4 ft 1 in)</li>, <li class=""_21Ahn-"">Frame Material: Metal</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
45,Drawers,CELLBELL Desire C104 Mid Back Comfortable Fabric Office...,"₹3,799","₹9,999","[<li class=""_21Ahn-"">Wheels, Armrest, Adjustable Seat Height, Swivel</li>, <li class=""_21Ahn-"">W x H: 46 cm x 89 cm (1 ft 6 in x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Frame Material: Engineered Wood</li>, <li class=""_21Ahn-"">Upholstery Type: Mesh</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
46,Drawers,JIGSHTIAL Plastic Toilet Foot Supporter Stool for Weste...,₹335,₹975,"[<li class=""_21Ahn-"">Squatty Stool/ Foot Support For Western Toilet</li>, <li class=""_21Ahn-"">Made of Plastic</li>, <li class=""_21Ahn-"">Portable</li>, <li class=""_21Ahn-"">Width x Height: 16.5 inch x 8.25 inch (1 ft 4 in x 8 in)</li>, <li class=""_21Ahn-"">Load Capacity: 60 kg</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
47,Drawers,WIPRO Fabric Office Arm Chair,"₹10,999","₹14,140","[<li class=""_21Ahn-"">Adjustable Seat Height, Recline, Wheels, Swivel, Armrest</li>, <li class=""_21Ahn-"">W x H: 51 cm x 114 cm (1 ft 8 in x 3 ft 8 in)</li>, <li class=""_21Ahn-"">Frame Material: Plastic</li>, <li class=""_21Ahn-"">Upholstery Type: Cushion</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
