,furniture_type,name,discounted_price,original_price,product_details
16,Table,KIYAN ENTERPRISES Wood Portable Laptop Table,₹499,"₹1,905","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 28 cm x 40 cm (1 ft 11 in x 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
17,Table,GOHIL ENTERPRISE Wood Portable Laptop Table,₹425,"₹1,738","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 27 cm x 40 cm (1 ft 11 in x 10 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
18,Table,GLORIEUX ART Beautiful Antique Wooden Fold-able Side Ta...,₹489,₹997,"[<li class=""_21Ahn-"">Free-Style</li>, <li class=""_21Ahn-"">Width x Height: 30 x 33 cm (11 in x 1 ft)</li>, <li class=""_21Ahn-"">Suitable For: Living Room</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions</li>]"
19,Table,Crystal Furnitech Torian Engineered Wood Dressing Table,"₹9,590","₹13,618","[<li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 181.5 cm x 50 cm (1 ft 11 in x 5 ft 11 in x 1 ft 7 in)</li>, <li class=""_21Ahn-"">Mirror W x H: 300 mm x 1220 mm</li>, <li class=""_21Ahn-"">Finish Type: Polished | Finish Color: wallnut</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
20,Table,AVI CREATION Black flower Metal Portable Laptop Table,₹519,₹999,"[<li class=""_21Ahn-"">Primary Material: Metal</li>, <li class=""_21Ahn-"">W x H x D: 59 cm x 28 cm x 39.3 cm (1 ft 11 in x 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
21,Table,Spanglers Engineered Wood Side Table (Finish Color - Br...,"₹1,349","₹3,499","[<li class=""_21Ahn-"">Triangle</li>, <li class=""_21Ahn-"">Width x Height: 18.9 x 48 inch (1 ft 6 in x 4 ft)</li>, <li class=""_21Ahn-"">Suitable For: Bedroom Furniture, Living Room</li>, <li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions</li>]"
22,Table,RCM Laptop Stand Wood Portable Laptop Table,₹499,"₹1,499","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 600 mm x 280 mm x 280 mm (1 ft 11 in x 11 in x 11 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
23,Table,Crystal Furnitech Alanta Engineered Wood Computer Desk,"₹5,690","₹13,546","[<li class=""_21Ahn-"">Contemporary &amp; Modern Style Computer Desk</li>, <li class=""_21Ahn-"">Straight Set-up for Study &amp; Home Office with Storage Space</li>, <li class=""_21Ahn-"">W x H x D: 90 cm x 75 cm x 45 cm (2 ft 11 in x 2 ft 5 in x 1 ft 5 in)</li>, <li class=""_21Ahn-"">With CPU Compartment</li>, <li class=""_21Ahn-"">Built-in Keyboard Tray</li>, <li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
24,Table,Flipkart Perfect Homes Studio Wood Portable Laptop Tabl...,₹849,"₹1,999","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 55 cm x 32 cm x 25 cm (1 ft 9 in x 1 ft x 9 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
25,Table,HF HARSH FASHION Wood Portable Laptop Table,₹429,"₹3,490","[<li class=""_21Ahn-"">Primary Material: Wood</li>, <li class=""_21Ahn-"">W x H x D: 60 cm x 26.6 cm x 40 cm (1 ft 11 in x 10 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Foldable</li>]"
