,furniture_type,name,discounted_price,original_price,product_details
11,TV unit,Zuari by Forte Cyprus Engineered Wood TV Entertainment ...,"₹9,278","₹15,998","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 1515 mm x 600 mm x 406 mm (4 ft 11 in x 1 ft 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 55 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 2, Number of Open Shelves: 1, Number of Closed Shelves: 1</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
12,TV unit,Home Full Bliss Engineered Wood TV Entertainment Unit,"₹6,590","₹10,999","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 180 Cm x 54 cm x 40 cm (5 ft 10 in x 1 ft 9 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 70 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 2, Number of Open Shelves: 3, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
13,TV unit,Das Dexter Engineered Wood TV Entertainment Unit,"₹1,599","₹3,299","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 65 cm x 50 cm x 18 cm (2 ft 1 in x 1 ft 7 in x 7 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 32 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 6, Number of Closed Shelves: 2</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
14,TV unit,Das Ambient Engineered Wood TV Entertainment Unit,"₹3,869","₹8,599","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 132 cm x 106 cm x 25 cm (4 ft 3 in x 3 ft 5 in x 9 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 43 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 5, Number of Closed Shelves: 4</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
15,TV unit,Home Centre Clary Engineered Wood TV Entertainment Unit,"₹7,999","₹15,998","[<li class=""_21Ahn-"">Material: Plywood</li>, <li class=""_21Ahn-"">W x H x D: 40 cm x 47 cm x 160 cm (1 ft 3 in x 1 ft 6 in x 5 ft 2 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 50 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 0, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
16,TV unit,ANIKAA AK-Laura-WT Engineered Wood TV Entertainment Uni...,"₹3,863","₹10,999","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 130 cm x 112 cm x 25 cm (4 ft 3 in x 3 ft 8 in x 9 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 43 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 9, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
17,TV unit,CuteKitchen CK ET 76 Engineered Wood TV Entertainment U...,"₹4,914","₹11,400","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 158 cm x 129 cm x 30 cm (5 ft 2 in x 4 ft 2 in x 11 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 55 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 10, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
18,TV unit,Home Full Engineered Wood TV Entertainment Unit,"₹6,590","₹13,399","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 150 cm x 152 cm x 40 cm (4 ft 11 in x 4 ft 11 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 42 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 2, Number of Open Shelves: 2, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
19,TV unit,Zuari by Forte Athens Engineered Wood TV Entertainment ...,"₹6,446","₹12,398","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 1515 mm x 420 mm x 392 mm (4 ft 11 in x 1 ft 4 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 65 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 2, Number of Closed Shelves: 1</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
20,TV unit,Flipkart Perfect Homes Riobo Engineered Wood TV Enterta...,"₹4,390","₹6,999","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 120 cm x 45 cm x 39.5 cm (3 ft 11 in x 1 ft 5 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 43 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 5, Number of Closed Shelves: 2</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
21,TV unit,Home Full Engineered Wood TV Entertainment Unit,"₹7,191","₹16,500","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 150 cm x 62 cm x 40 cm (4 ft 11 in x 2 ft x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 55 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 2, Number of Open Shelves: 2, Number of Closed Shelves: 1</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
22,TV unit,Das Dexter Engineered Wood TV Entertainment Unit,"₹1,599","₹3,299","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 65 cm x 50 cm x 18 cm (2 ft 1 in x 1 ft 7 in x 7 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 32 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 6, Number of Closed Shelves: 2</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
23,TV unit,Home Centre Engineered Wood TV Entertainment Unit,"₹8,999","₹13,845","[<li class=""_21Ahn-"">Material: Plywood</li>, <li class=""_21Ahn-"">W x H x D: 45 cm x 40 cm x 180 cm (1 ft 5 in x 1 ft 3 in x 5 ft 10 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 50 Inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 0, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: Pre Assembled (Ready to Use)</li>]"
24,TV unit,Zuari Monaco Engineered Wood TV Entertainment Unit,"₹5,190","₹12,057","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 1196 mm x 1240 mm x 387 mm (3 ft 11 in x 4 ft x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 32 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 9, Number of Closed Shelves: 2</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
25,TV unit,BLUEWUD Estoye Engineered Wood TV Entertainment Unit,"₹2,603","₹3,999","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 29.8 cm x 11 cm x 90.5 cm (11 in x 4 in x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 42 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 0, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
26,TV unit,CuteKitchen CK-ET-23 Engineered Wood TV Entertainment U...,"₹4,998","₹11,100","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 120 cm x 120 cm x 20 cm (3 ft 11 in x 3 ft 11 in x 7 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 50 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 3, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
27,TV unit,Zuari by Forte Athens Engineered Wood TV Entertainment ...,"₹6,446","₹12,398","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 1515 mm x 420 mm x 392 mm (4 ft 11 in x 1 ft 4 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 65 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 2, Number of Closed Shelves: 1</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
28,TV unit,NEUDOT TABLA Engineered Wood TV Entertainment Unit,"₹3,230","₹9,000","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 120 cm x 52 cm x 40 cm (3 ft 11 in x 1 ft 8 in x 1 ft 3 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 42 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 2, Number of Closed Shelves: 0</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
29,TV unit,BLUEWUD Primax Engineered Wood TV Entertainment Unit,"₹3,568","₹6,449","[<li class=""_21Ahn-"">Material: Particle Board</li>, <li class=""_21Ahn-"">W x H x D: 30 cm x 97 cm x 157.5 cm (11 in x 3 ft 2 in x 5 ft 2 in)</li>, <li class=""_21Ahn-"">Ideal TV Size: 55 inch</li>, <li class=""_21Ahn-"">Number of Drawers: 0, Number of Open Shelves: 5, Number of Closed Shelves: 4</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
