,furniture_type,name,discounted_price,original_price,product_details
22,Sofa,MEZIRE Airbed PVC (Polyvinyl Chloride) 3 Seater Inflata...,"₹3,698","₹4,500","[<li class=""_21Ahn-"">Inflatable Sofa</li>, <li class=""_21Ahn-"">Contemporary &amp; Modern Style</li>, <li class=""_21Ahn-"">Primary Material: Plastic</li>, <li class=""_21Ahn-"">W x H x D: 152.4 cm x 76.2 cm x 71 cm (5 ft x 2 ft 6 in x 2 ft 3 in)</li>, <li class=""_21Ahn-"">With Armrest</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
23,Sofa,ELTOP Lifestyle Nano Fabric 3 + 1 + 1 Sofa Set,"₹22,799","₹37,999","[<li class=""_21Ahn-"">Polycotton</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
24,Sofa,Flipkart Perfect Homes BELLA Leatherette 3 + 1 + 1 Sofa...,"₹18,999","₹50,999","[<li class=""_21Ahn-"">Imitation Leather</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
25,Sofa,Bharat Lifestyle Alina Fabric 3 + 2 Sofa Set,"₹21,599","₹79,999","[<li class=""_21Ahn-"">Velvet</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
26,Sofa,WESTIDO Leatherette 5 Seater  Sofa,"₹12,999","₹24,999","[<li class=""_21Ahn-"">Upholestry: Imitation Leather</li>, <li class=""_21Ahn-"">Filling Material: Polyfill</li>, <li class=""_21Ahn-"">W x H x D: 174 cm x 91 cm x 54 cm (5 ft 8 in x 2 ft 11 in x 1 ft 9 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
27,Sofa,Trevi Bliss Fabric 6 Seater  Sofa,"₹18,799","₹49,999","[<li class=""_21Ahn-"">Upholestry: Cotton</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 269.24 cm x 77.47 cm x 186.69 cm (8 ft 10 in x 2 ft 6 in x 6 ft 1 in)</li>, <li class=""_21Ahn-"">Right Facing</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
28,Sofa,"Seventh Heaven Milan, Chenille Molfino Fabric: 3 Year W...","₹11,560","₹17,000","[<li class=""_21Ahn-"">Upholestry: Chenille</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 185.5 cm x 80 cm x 80 cm (6 ft 1 in x 2 ft 7 in x 2 ft 7 in)</li>, <li class=""_21Ahn-"">Symmetrical</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
29,Sofa,Bharat Lifestyle Tulip 3 Seater Black Grey Color Fabric...,"₹7,999","₹19,999","[<li class=""_21Ahn-"">Upholestry: Jute</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">W x H x D: 180 cm x 77 cm x 69 cm (5 ft 10 in x 2 ft 6 in x 2 ft 3 in)</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
30,Sofa,Flipkart Perfect Homes Crete Leatherette and Fabric 3 +...,"₹18,399","₹45,900","[<li class=""_21Ahn-"">Polycotton</li>, <li class=""_21Ahn-"">Filling Material: Foam</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
31,Sofa,Allie Wood Sheesham Wood Premium Quality Sofa Set with ...,"₹24,067","₹49,599","[<li class=""_21Ahn-"">Filling Material: Cotton</li>, <li class=""_21Ahn-"">Frame Material: Solid Wood</li>, <li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
