,furniture_type,name,discounted_price,original_price,product_details
13,Dining Table,Flipkart Perfect Homes Luzon Metal 6 Seater Dining Set,"₹17,590","₹19,999","[<li class=""_21Ahn-"">Table Top Material: Glass</li>, <li class=""_21Ahn-"">Chair Frame: Metal</li>, <li class=""_21Ahn-"">Table (W x H x D): 140 cm x 75 cm x 80 cm (4 ft 7 in x 2 ft 5 in x 2 ft 7 in)</li>, <li class=""_21Ahn-"">Seating Capacity: 6 Seater</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
14,Dining Table,Shree Jeen Mata Enterprises Solid Sheesham Wood 4 Seate...,"₹13,599","₹24,999","[<li class=""_21Ahn-"">Table Top Material: Solid Wood</li>, <li class=""_21Ahn-"">Chair Frame: Solid Wood</li>, <li class=""_21Ahn-"">Table (W x H x D): 85 cm x 76 cm x 85 cm (2 ft 9 in x 2 ft 5 in x 2 ft 9 in)</li>, <li class=""_21Ahn-"">Seating Capacity: 4 Seater</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
15,Dining Table,Studio Kook Dolce Folding Dining Table Engineered Wood ...,"₹15,217","₹26,419","[<li class=""_21Ahn-"">Finish Type: Matte</li>, <li class=""_21Ahn-"">Extendable</li>, <li class=""_21Ahn-"">Storage Included</li>, <li class=""_21Ahn-"">Style: Contemporary &amp; Modern</li>, <li class=""_21Ahn-"">W x H: 1500 mm x 770 mm (4 ft 11 in x 2 ft 6 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
16,Dining Table,limraz furniture Engineered Wood 4 Seater Dining Table,"₹1,756","₹3,800","[<li class=""_21Ahn-"">Finish Type: glossy</li>, <li class=""_21Ahn-"">W x H: 1219.2 mm x 787.4 mm (4 ft x 2 ft 7 in)</li>, <li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
17,Dining Table,Custom Decor Solid Wood 4 Seater Dining Set,"₹14,699","₹50,000","[<li class=""_21Ahn-"">Table Top Material: Solid Wood</li>, <li class=""_21Ahn-"">Chair Frame: Solid Wood</li>, <li class=""_21Ahn-"">Table (W x H x D): 116.84 cm x 76.2 cm x 91.44 cm (3 ft 10 in x 2 ft 6 in x 3 ft)</li>, <li class=""_21Ahn-"">Seating Capacity: 4 Seater</li>]"
18,Dining Table,Suncrown Furniture Sheesham Solid Wood 4 Seater Dining ...,"₹14,699","₹21,929","[<li class=""_21Ahn-"">Table Top Material: Solid Wood</li>, <li class=""_21Ahn-"">Chair Frame: Solid Wood</li>, <li class=""_21Ahn-"">Table (W x H x D): 114 cm x 76 cm x 76 cm (3 ft 8 in x 2 ft 5 in x 2 ft 5 in)</li>, <li class=""_21Ahn-"">Seating Capacity: 4 Seater</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
19,Dining Table,Modway Solid Wood 6 Seater Dining Set,"₹21,849","₹65,490","[<li class=""_21Ahn-"">Table Top Material: Solid Wood</li>, <li class=""_21Ahn-"">Chair Frame: Solid Wood</li>, <li class=""_21Ahn-"">Table (W x H x D): 90.1 cm x 76 cm x 88.7 cm (2 ft 11 in x 2 ft 5 in x 2 ft 10 in)</li>, <li class=""_21Ahn-"">Seating Capacity: 6 Seater</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
20,Dining Table,Flipkart Perfect Homes Solid Wood 4 Seater Dining Set,"₹9,499","₹24,999","[<li class=""_21Ahn-"">Table Top Material: Solid Wood</li>, <li class=""_21Ahn-"">Chair Frame: Solid Wood</li>, <li class=""_21Ahn-"">Table (W x H x D): 114 cm x 76 cm x 70 cm (3 ft 8 in x 2 ft 5 in x 2 ft 3 in)</li>, <li class=""_21Ahn-"">Seating Capacity: 4 Seater</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
21,Dining Table,Flipkart Perfect Homes Arranmore Solid Wood 6 Seater Di...,"₹23,490","₹29,999","[<li class=""_21Ahn-"">Table Top Material: Engineered Wood</li>, <li class=""_21Ahn-"">Chair Frame: Solid Wood</li>, <li class=""_21Ahn-"">Table (W x H x D): 150 Cm x 73 cm x 90 cm (4 ft 11 in x 2 ft 4 in x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Seating Capacity: 6 Seater</li>, <li class=""_21Ahn-"">Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
22,Dining Table,Custom Decor Solid Wood 4 Seater Dining Set,"₹16,099","₹50,000","[<li class=""_21Ahn-"">Table Top Material: Solid Wood</li>, <li class=""_21Ahn-"">Chair Frame: Solid Wood</li>, <li class=""_21Ahn-"">Table (W x H x D): 115 cm x 75 cm x 90 cm (3 ft 9 in x 2 ft 5 in x 2 ft 11 in)</li>, <li class=""_21Ahn-"">Seating Capacity: 4 Seater</li>, <li class=""_21Ahn-"">Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
