,furniture_type,name,discounted_price,original_price,product_details
32,Showcase,Xtenshion Crafts Engineered Wood Display Unit,₹760,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
33,Showcase,Sublime Arts WALL FLOATING Engineered Wood Display Unit,₹569,₹899,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
34,Showcase,Xtenshion Crafts Interlock Set Of 6 Engineered Wood Dis...,"₹1,059","₹1,499","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
35,Showcase,Hometown Engineered Wood Display Unit,"₹2,879","₹7,900","[<li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
36,Showcase,Flipkart Perfect Homes Studio Engineered Wood Display U...,₹594,"₹1,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
37,Showcase,Meher MULTIPURPOSE WALLSTORAGE HOLDER 8 Pieces set Plas...,₹253,₹800,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
38,Showcase,Lodditer Engineered Wood Display Unit,₹709,"₹1,546","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
39,Showcase,Hometown Cash Engineered Wood Display Unit,"₹2,149","₹5,900","[<li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
40,Showcase,Flipkart Perfect Homes Studio KR-02-Beige Engineered Wo...,₹713,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Easy Cleaning</li>, <li class=""_21Ahn-"">Huge Storage Space</li>, <li class=""_21Ahn-"">Good Looking</li>, <li class=""_21Ahn-"">Heavy and Strong</li>]"
41,Showcase,Flipkart Perfect Homes Studio KR-02-White Engineered Wo...,₹713,"₹1,499","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Easy Cleaning</li>, <li class=""_21Ahn-"">Huge Storage Space</li>, <li class=""_21Ahn-"">Good Looking</li>, <li class=""_21Ahn-"">Heavy and Strong</li>]"
42,Showcase,"King Decore love self ,wall art wall decor i lave you s...",₹359,"₹1,590","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
43,Showcase,classiconline Wall Mount Corner 5 Tier Engineered Wood ...,₹712,"₹2,599","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
44,Showcase,"Artesia Wall Mount Set of 3 Iron Wall Shelves Wooden, I...",₹879,"₹3,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
45,Showcase,Meher MULTIPURPOSE STORAGE CASE Plastic Display Unit,₹180,₹750,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
46,Showcase,Custom Decor NEW Edison Solidwood House Corner Wall Rac...,"₹3,499","₹12,000","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
47,Showcase,Flipkart Perfect Homes Studio Engineered Wood Display U...,₹713,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
48,Showcase,Sublime Arts Tv Entertainment Set top Box Stand Ideal f...,₹544,"₹1,234","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
49,Showcase,King Decore Engineered Wood Display Unit,₹359,"₹1,590","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
50,Showcase,woodinto Wooden Wall Shelf for Decor Home and Office En...,"₹1,299","₹1,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
51,Showcase,Star Handicrafts Engineered Wood Display Unit,₹976,"₹2,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
52,Showcase,Martemporium New Plus Wooden Wall Shelf for Decor Your ...,₹711,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">New Plus wall shelf</li>]"
53,Showcase,Manu Creations Hardwood Aai Wall Mounted Shelf Wenge Ra...,₹390,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
54,Showcase,"ABHA A4 metal Brochure,catalogue rack, Display Stand Me...","₹1,799","₹3,500","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Brochure</li>]"
55,Showcase,Star Handicrafts Engineered Wood Display Unit,"₹1,061","₹2,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
56,Showcase,Decorhand Wall Mount Intersecting Hexagon Wall Shelves ...,"₹1,839","₹3,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
57,Showcase,classiconline Set of 4 Engineered Wood Display Unit,₹707,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
58,Showcase,Flipkart Perfect Homes Studio Multipurpose Wooden Kitch...,"₹1,165","₹3,050","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
59,Showcase,Hometown Engineered Wood Display Unit,"₹3,311","₹9,200","[<li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
60,Showcase,King Decore love selfdisplay unit wall self wall art wa...,₹399,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
61,Showcase,Das Engineered Wood Display Unit,₹633,"₹2,199","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
62,Showcase,King Decore Engineered Wood Display Unit,₹249,₹799,"[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
63,Showcase,Mrmart Engineered Wood Display Unit,₹899,"₹1,499","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
64,Showcase,Craft Creations Engineered Wood Display Unit,"₹4,500","₹4,500","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
65,Showcase,classiconline Engineered Wood Display Unit,₹398,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
66,Showcase,"Amaze Shoppee Wall Mounted Stand for Set Top Box, Wall ...",₹788,"₹3,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
67,Showcase,Mrmart Engineered Wood Display Unit,"₹1,149","₹2,599","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
68,Showcase,Craft Creations Engineered Wood Display Unit,"₹2,185","₹2,600","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
69,Showcase,Decorhand Wall Mount Set of 6 Intersecting Wall Shelves...,"₹1,444","₹2,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
70,Showcase,woodinto Corner Zig Zag Wall Mount Shelves for Home Dec...,₹809,"₹1,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">ZIGZAG WALL SHELVE</li>]"
71,Showcase,Hometown Engineered Wood Display Unit,"₹2,879","₹7,900","[<li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
72,Showcase,Xtenshion Crafts Engineered Wood Display Unit,₹760,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
73,Showcase,Sublime Arts WALL FLOATING Engineered Wood Display Unit,₹569,₹899,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
74,Showcase,Flipkart Perfect Homes Studio Multipurpose Wooden Kitch...,"₹1,262","₹3,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Modern and Sturdy</li>]"
75,Showcase,Hometown Cash Engineered Wood Display Unit,"₹2,149","₹5,900","[<li class=""_21Ahn-"">Knock Down - Delivered in non-assembled pieces, installation by service partner</li>]"
76,Showcase,Xtenshion Crafts Interlock Set Of 6 Engineered Wood Dis...,"₹1,059","₹1,499","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
77,Showcase,Flipkart Perfect Homes Studio Engineered Wood Display U...,₹594,"₹1,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
78,Showcase,StyleWud Ivy shelf Engineered Wood Display Unit,₹489,"₹1,199","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
79,Showcase,Porpoise Acrylic Jewellery Tray Organizer serving Tray ...,₹800,"₹1,999","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
80,Showcase,Flipkart Perfect Homes Studio Wooden Wall Mounted Float...,"₹1,358","₹4,999","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
81,Showcase,Xtenshion Crafts Set up box stand Engineered Wood Displ...,₹680,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
82,Showcase,Xtenshion Crafts Engineered Wood Display Unit,₹706,₹999,"[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>]"
83,Showcase,Flipkart Perfect Homes Studio KR-02-Beige Engineered Wo...,₹713,"₹1,599","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Easy Cleaning</li>, <li class=""_21Ahn-"">Huge Storage Space</li>, <li class=""_21Ahn-"">Good Looking</li>, <li class=""_21Ahn-"">Heavy and Strong</li>]"
84,Showcase,King Decore Engineered Wood Display Unit,₹449,"₹1,990","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
85,Showcase,Teakwood stb01 Engineered Wood Display Unit,₹399,"₹1,199","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>]"
86,Showcase,all crafts art U rack wall shelf Solid Wood Display Uni...,₹449,"₹1,350","[<li class=""_21Ahn-"">Pre Assembled (Ready to Use)</li>, <li class=""_21Ahn-"">Yes</li>]"
87,Showcase,Flipkart Perfect Homes Studio KR-02-White Engineered Wo...,₹713,"₹1,499","[<li class=""_21Ahn-"">DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.</li>, <li class=""_21Ahn-"">Easy Cleaning</li>, <li class=""_21Ahn-"">Huge Storage Space</li>, <li class=""_21Ahn-"">Good Looking</li>, <li class=""_21Ahn-"">Heavy and Strong</li>]"
